Episódio 1/100, Score: 133.0
Episódio 2/100, Score: 171.0
Episódio 3/100, Score: 167.0
Episódio 4/100, Score: 101.0
Episódio 5/100, Score: 140.0
Episódio 6/100, Score: 102.0
Episódio 7/100, Score: 118.0
Episódio 8/100, Score: 107.0
Episódio 9/100, Score: 217.0
Episódio 10/100, Score: 140.0
Episódio 11/100, Score: 77.0
Episódio 12/100, Score: 81.0
Episódio 13/100, Score: 103.0
Episódio 14/100, Score: 115.0
Episódio 15/100, Score: 132.0
Episódio 16/100, Score: 128.0
Episódio 17/100, Score: 108.0
Episódio 18/100, Score: 129.0
Episódio 19/100, Score: 119.0
Episódio 20/100, Score: 155.0
Episódio 21/100, Score: 221.0
Episódio 22/100, Score: 171.0
Episódio 23/100, Score: 181.0
Episódio 24/100, Score: 113.0
Episódio 25/100, Score: 114.0
Episódio 26/100, Score: 176.0
Episódio 27/100, Score: 123.0
Episódio 28/100, Score: 216.0
Episódio 29/100, Score: 105.0
Episódio 30/100, Score: 174.0
Episódio 31/100, Score: 77.0
Episódio 32/100, Score: 252.0
Episódio 33/100, Score: 137.0
Episódio 34/100, Score: 101.0
Episódio 35/100, Score: 143.0
Episódio 36/100, Score: 150.0
Episódio 37/100, Score: 157.0
Episódio 38/100, Score: 104.0
Episódio 39/100, Score: 105.0
Episódio 40/100, Score: 182.0
Episódio 41/100, Score: 77.0
Episódio 42/100, Score: 76.0
Episódio 43/100, Score: 254.0
Episódio 44/100, Score: 175.0
Episódio 45/100, Score: 112.0
Episódio 46/100, Score: 103.0
Episódio 47/100, Score: 188.0
Episódio 48/100, Score: 137.0
Episódio 49/100, Score: 100.0
Episódio 50/100, Score: 129.0
Episódio 51/100, Score: 137.0
Episódio 52/100, Score: 157.0
Episódio 53/100, Score: 117.0
Episódio 54/100, Score: 118.0
Episódio 55/100, Score: 97.0
Episódio 56/100, Score: 136.0
Episódio 57/100, Score: 96.0
Episódio 58/100, Score: 143.0
Episódio 59/100, Score: 108.0
Episódio 60/100, Score: 115.0
Episódio 61/100, Score: 144.0
Episódio 62/100, Score: 77.0
Episódio 63/100, Score: 276.0
Episódio 64/100, Score: 134.0
Episódio 65/100, Score: 107.0
Episódio 66/100, Score: 136.0
Episódio 67/100, Score: 96.0
Episódio 68/100, Score: 132.0
Episódio 69/100, Score: 109.0
Episódio 70/100, Score: 155.0
Episódio 71/100, Score: 105.0
Episódio 72/100, Score: 132.0
Episódio 73/100, Score: 133.0
Episódio 74/100, Score: 170.0
Episódio 75/100, Score: 147.0
Episódio 76/100, Score: 138.0
Episódio 77/100, Score: 111.0
Episódio 78/100, Score: 139.0
Episódio 79/100, Score: 109.0
Episódio 80/100, Score: 109.0
Episódio 81/100, Score: 103.0
Episódio 82/100, Score: 107.0
Episódio 83/100, Score: 105.0
Episódio 84/100, Score: 132.0
Episódio 85/100, Score: 88.0
Episódio 86/100, Score: 215.0
Episódio 87/100, Score: 108.0
Episódio 88/100, Score: 107.0
Episódio 89/100, Score: 103.0
Episódio 90/100, Score: 117.0
Episódio 91/100, Score: 180.0
Episódio 92/100, Score: 99.0
Episódio 93/100, Score: 172.0
Episódio 94/100, Score: 155.0
Episódio 95/100, Score: 104.0
Episódio 96/100, Score: 205.0
Episódio 97/100, Score: 103.0
Episódio 98/100, Score: 156.0
Episódio 99/100, Score: 150.0
Episódio 100/100, Score: 101.0

==================================================
ESTATÍSTICAS DOS SCORES:
Média: 133.89
Mediana: 128.50
Melhor score: 276.0
Pior score: 76.0
==================================================
